event_id,closure_end,closure_start,source_record_count,has_reopening_time,last_closure_report,duration_status,duration_hours
I80-0212,,2024-11-11 21:38:26+00:00,1,False,2024-11-11 21:38:26+00:00,right_censored,
I80-0213,,2024-12-03 19:36:36+00:00,1,False,2024-12-03 19:36:36+00:00,right_censored,
I80-0214,,2024-12-11 16:38:27+00:00,1,False,2024-12-11 16:38:27+00:00,right_censored,
I80-0215,,2024-12-14 15:14:21+00:00,2,False,2024-12-15 02:16:39+00:00,right_censored,
I80-0216,,2024-12-24 03:08:59+00:00,1,False,2024-12-24 03:08:59+00:00,right_censored,
I80-0217,2025-01-04 00:35:00+00:00,2025-01-03 22:52:40+00:00,1,True,,observed,1.7055555555555555
I80-0218,,2025-02-14 15:57:57+00:00,2,False,2025-02-14 20:39:38+00:00,right_censored,
I80-0219,,2025-03-11 21:56:56+00:00,1,False,2025-03-11 21:56:56+00:00,right_censored,
I80-0220,,2025-03-15 02:03:03+00:00,1,False,2025-03-15 02:03:03+00:00,right_censored,
I80-0221,,2025-03-17 00:28:12+00:00,1,False,2025-03-17 00:28:12+00:00,right_censored,
I80-0222,,2025-03-17 22:41:48+00:00,1,False,2025-03-17 22:41:48+00:00,right_censored,
I80-0223,,2025-03-31 20:16:07+00:00,1,False,2025-03-31 20:16:07+00:00,right_censored,
I80-0224,2025-04-01 22:10:00+00:00,2025-04-01 16:55:51+00:00,2,True,,observed,5.235833333333333
I80-0225,,2025-04-01 22:14:04+00:00,1,False,2025-04-01 22:14:04+00:00,right_censored,
I80-0226,2025-04-26 22:50:00+00:00,2025-04-26 20:51:00+00:00,1,True,,observed,1.9833333333333334
I80-0227,,2025-04-27 02:03:26+00:00,1,False,2025-04-27 02:03:26+00:00,right_censored,
I80-0228,,2025-05-13 00:22:07+00:00,1,False,2025-05-13 00:22:07+00:00,right_censored,
I80-0229,,2025-10-05 00:51:35+00:00,1,False,2025-10-05 00:51:35+00:00,right_censored,
I80-0230,2025-11-16 20:38:00+00:00,2025-11-16 16:26:51+00:00,2,True,,observed,4.185833333333333
I80-0231,,2025-11-16 20:39:29+00:00,1,False,2025-11-16 20:39:29+00:00,right_censored,
I80-0232,2025-11-20 17:08:00+00:00,2025-11-20 16:00:35+00:00,1,True,,observed,1.1236111111111111
I80-0233,,2025-12-24 22:23:45+00:00,1,False,2025-12-24 22:23:45+00:00,right_censored,
I80-0234,2025-12-26 04:45:00+00:00,2025-12-25 02:10:07+00:00,2,True,,observed,26.58138888888889
I80-0235,2025-12-26 04:28:12+00:00,2025-12-26 03:48:01+00:00,1,True,,observed,0.6697222222222222
I80-0236,2026-01-05 05:14:05+00:00,2026-01-04 20:46:49+00:00,2,True,,observed,8.454444444444444
I80-0237,2026-02-16 22:30:00+00:00,2026-02-16 19:37:37+00:00,1,True,,observed,2.8730555555555557
I80-0238,2026-02-18 18:35:00+00:00,2026-02-17 15:39:48+00:00,5,True,,observed,26.92
I80-0239,2026-02-20 08:10:00+00:00,2026-02-19 00:27:05+00:00,3,True,,observed,31.71527777777778
